1.636278,2.282144,-0.659471
1.650671,2.271181,-0.642271
1.669866,2.257204,-0.616442
1.691438,2.241616,-0.645129
1.709788,2.227261,-0.681950
1.725351,2.214222,-0.711986
1.739555,2.201642,-0.736627
1.753163,2.189044,-0.756120
1.767037,2.175750,-0.770774
1.781450,2.161598,-0.780793
1.796717,2.146381,-0.785812
1.813366,2.129696,-0.786197
1.831363,2.111733,-0.782068
1.850876,2.092503,-0.773537
1.872246,2.071902,-0.760013
1.895624,2.050073,-0.741788
1.921255,2.027116,-0.718388
1.949446,2.003165,-0.689806
1.980002,1.978775,-0.657086
2.013402,1.953997,-0.619016
2.048534,1.930086,-0.575054
2.084745,1.907846,-0.526053
2.122039,1.887473,-0.473154
2.160356,1.869101,-0.422237
2.199508,1.852581,-0.377476
2.239332,1.837749,-0.336622
2.279699,1.824466,-0.300040
2.320501,1.812585,-0.267839
2.361642,1.801931,-0.239858
2.403042,1.792330,-0.216627
2.444637,1.783619,-0.197197
2.486376,1.775614,-0.182471
2.528213,1.768143,-0.171690
2.570114,1.761039,-0.164872
2.612049,1.754133,-0.162289
2.653988,1.747252,-0.163557
2.695904,1.740232,-0.169050
2.737767,1.732901,-0.178305
2.779545,1.725101,-0.191547
2.821196,1.716655,-0.209316
2.862672,1.707384,-0.231105
2.903913,1.697123,-0.257327
2.944847,1.685698,-0.287622
2.985403,1.673045,-0.306326
3.026106,1.660831,-0.277745
3.067108,1.649657,-0.255547
3.108316,1.639265,-0.239756
3.149655,1.629404,-0.229333
3.191071,1.619874,-0.223868
3.232518,1.610469,-0.223224
3.273946,1.600983,-0.227791
3.315307,1.591214,-0.236775
3.355956,1.581115,-0.251058
3.394577,1.570843,-0.269692
3.431741,1.560117,-0.293171
3.466736,1.549023,-0.322029
3.499741,1.537406,-0.355657
3.530779,1.525210,-0.394410
3.560240,1.512171,-0.440045
3.587662,1.498425,-0.490298
3.612910,1.484056,-0.545900
3.636216,1.468943,-0.605315
3.657728,1.453014,-0.669915
3.677504,1.436234,-0.736642
3.695832,1.418688,-0.790091
3.713040,1.400398,-0.840851
3.729335,1.381270,-0.888710
3.745006,1.361039,-0.933758
3.759917,1.339967,-0.975217
3.774309,1.317799,-1.013786
3.788257,1.294478,-1.048707
3.801672,1.270268,-1.079996
3.814846,1.244733,-1.108144
3.827605,1.218313,-1.132883
